fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,rank_flag,current_p4p,p4p_flag,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Alex Perez,1992-03-21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,11,NA,16,NA,4,16,14,8,4 KO 2 Sub 2 Dec,6,2 KO 3 Sub 1 Dec,1,3,3,6.6,2910,3031,2872,2017-12-09,W - Carls John de Tomas,2026-01-24,W - Charles Johnson,2026-05-30,Sumudaerji
Jonathan Martinez,1994-04-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,NA,16,NA,10,16,15,10,4 KO 0 Sub 6 Dec,5,1 KO 0 Sub 4 Dec,-2,6,3,6.6,2910,3195,2770,2018-10-27,L - Andre Soukhamthath,2024-11-16,L - Marcus McGhee,NA,NA
Marcus McGhee,1990-05-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,bantamweight,16,NA,16,NA,12,16,5,4,2 KO 1 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,-1,4,3,6.4,2908,2924,2860,2023-04-29,W - Journey Newson,2025-07-26,L - Petr Yan,2026-06-06,Jakub Wiklacz
Joanderson Brito,1995-02-11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,featherweight,16,NA,16,NA,16,16,9,6,3 KO 2 Sub 1 Dec,3,0 KO 0 Sub 3 Dec,1,5,2,5.7,2908,3110,2741,2022-01-15,L - Bill Algeo,2025-12-13,W - Isaac Thomson,2026-06-06,Jordan Leavitt
Tom Nolan,2000-03-08,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,lightweight,16,NA,16,NA,16,16,5,4,1 KO 1 Sub 2 Dec,1,1 KO 0 Sub 0 Dec,4,4,1,7.6,2908,2908,2736,2024-01-13,L - Nikolas Motta,2025-09-28,W - Charlie Campbell,2026-06-06,Fares Ziam
Vitor Petrino,1997-08-28,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,heavyweight,16,NA,16,NA,15,16,9,7,2 KO 2 Sub 3 Dec,2,1 KO 1 Sub 0 Dec,3,4,3,5.9,2908,3030,2724,2023-03-11,W - Anton Turkalj,2026-03-14,W - Steven Asplund,NA,NA
Valter Walker,1997-12-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Brazil, Russia",male,heavyweight,13,NA,16,NA,13,16,5,4,0 KO 4 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,4,4,2,8.6,2908,2908,2616,2024-04-06,L - Lukasz Brzeski,2025-10-25,W - Louie Sutherland,NA,NA
Amir Albazi,1993-10-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Iraq, Sweden",male,flyweight,7,NA,16,NA,2,16,7,5,1 KO 2 Sub 2 Dec,2,0 KO 0 Sub 2 Dec,-2,5,0,5.4,2907,3002,2881,2020-07-18,W - Malcolm Gordon,2026-02-07,L - Kyoji Horiguchi,NA,NA
Brandon Royval,1992-08-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,4,NA,16,NA,1,16,12,7,1 KO 3 Sub 3 Dec,5,2 KO 1 Sub 2 Dec,-2,3,6,4.2,2907,3077,2955,2020-05-30,W - Tim Elliott,2025-12-13,L - Manel Kape,NA,NA
Gabriel Santos,1996-11-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,featherweight,16,NA,16,NA,16,16,4,2,0 KO 1 Sub 1 Dec,2,1 KO 0 Sub 1 Dec,2,2,0,7.2,2906,2906,2833,2023-03-18,L - Lerone Murphy,2025-02-08,W - Jack Jenkins,NA,NA
JunYong Park,1991-02-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,South Korea,male,middleweight,16,NA,16,NA,16,16,13,9,0 KO 3 Sub 6 Dec,4,1 KO 1 Sub 2 Dec,-1,4,1,6.4,2906,2993,2755,2019-08-31,L - Anthony Hernandez,2025-10-25,L - Ikram Aliskerov,NA,NA
Dooho Choi,1991-04-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,South Korea,male,featherweight,16,NA,16,NA,11,16,9,5,5 KO 0 Sub 0 Dec,3,2 KO 0 Sub 1 Dec,2,3,5,4.7,2905,2905,2803,2014-11-22,W - Juan Manuel Puig,2024-12-07,W - Nate Landwehr,2026-05-16,Daniel Santos
Chepe Mariscal,1992-10-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,NA,16,NA,16,16,6,5,1 KO 0 Sub 4 Dec,1,0 KO 0 Sub 1 Dec,-1,5,1,6.8,2905,2987,2796,2023-06-24,W - Trevor Peek,2025-11-15,L - Pat Sabatini,NA,NA
Tracy Cortez,1993-12-10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Mexico, United States",female,women's flyweight,8,NA,16,NA,8,16,8,6,0 KO 0 Sub 6 Dec,2,0 KO 1 Sub 1 Dec,-1,5,0,8.1,2903,2950,2755,2019-11-16,W - Vanessa Melo,2025-11-15,L - Erin Blanchfield,NA,NA
Jose Delano,1996-09-11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,featherweight,16,NA,16,NA,16,16,1,1,0 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,6,2903,2903,2851,2026-04-04,W - Robert Ruchala,2026-04-04,W - Robert Ruchala,NA,NA
Randy Brown,1990-07-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Jamaica, United States",male,welterweight,16,NA,16,NA,16,16,22,14,4 KO 3 Sub 7 Dec,8,3 KO 2 Sub 3 Dec,-2,4,3,5.6,2902,3163,2817,2016-01-30,W - Matt Dwyer,2026-04-11,L - Kevin Holland,NA,NA
Brandon Moreno,1993-12-07,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,male,flyweight,9,NA,16,NA,-1,9,20,11,3 KO 3 Sub 5 Dec,7,1 KO 0 Sub 6 Dec,-2,3,7,3.5,2900,3343,2946,2016-10-01,W - Louis Smolka,2026-02-28,L - Lone'er Kavanagh,NA,NA
Terrance McKinney,1994-09-15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,NA,16,NA,16,16,13,8,5 KO 3 Sub 0 Dec,5,3 KO 2 Sub 0 Dec,1,2,0,7.8,2900,2900,2719,2021-06-12,W - Matt Frevola,2026-03-28,W - Kyle Nelson,NA,NA
Geoff Neal,1990-08-28,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,NA,16,NA,6,16,14,8,5 KO 1 Sub 2 Dec,6,2 KO 1 Sub 3 Dec,-2,5,3,4.6,2899,3180,2985,2018-02-18,W - Brian Camozzi,2026-02-21,L - Uros Medic,NA,NA
Norma Dumont,1990-10-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's bantamweight,4,NA,16,NA,3,15,12,9,0 KO 0 Sub 9 Dec,3,1 KO 0 Sub 2 Dec,-1,6,0,5.8,2896,3069,2711,2020-02-29,L - Megan Anderson,2026-04-25,L - Joselyne Edwards,NA,NA
Julianna Pena,1989-08-19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Mexico, United States, Venezuela",female,women's bantamweight,1,NA,9,NA,-1,3,12,8,2 KO 2 Sub 4 Dec,4,0 KO 3 Sub 1 Dec,-1,4,2,3.7,2896,3015,2807,2013-11-30,W - Jessica Rakoczy,2025-06-07,L - Kayla Harrison,NA,NA
Rongzhu,2000-03-07,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,China,male,lightweight,16,NA,16,NA,16,16,6,3,1 KO 0 Sub 2 Dec,3,1 KO 1 Sub 1 Dec,2,2,1,8.3,2895,2895,2669,2021-04-24,L - Rodrigo Vargas,2025-08-23,W - Austin Hubbard,NA,NA
Lone'er Kavanagh,1999-06-09,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"China, United Kingdom, England",male,flyweight,6,NA,16,NA,6,16,4,3,0 KO 0 Sub 3 Dec,1,1 KO 0 Sub 0 Dec,1,2,1,6.8,2894,2894,2758,2024-11-23,W - Jose Ochoa,2026-02-28,W - Brandon Moreno,NA,NA
Muslim Salikhov,1984-06-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,welterweight,16,NA,16,NA,14,16,14,9,5 KO 0 Sub 4 Dec,5,3 KO 1 Sub 1 Dec,-1,5,4,5.1,2894,3108,2868,2017-11-25,L - Alex Garcia,2025-11-08,L - Uros Medic,2026-05-30,Jake Matthews
Ateba Gautier,2002-04-10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Cameroon,male,middleweight,16,NA,16,NA,16,16,5,5,4 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,5,5,2,7,2894,2894,2574,2025-03-29,W - Jose Medina,2026-05-09,W - Ozzy Diaz,NA,NA
Yana Santos,1989-11-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,female,"women's bantamweight, women's featherweight",7,NA,16,NA,5,16,12,7,0 KO 0 Sub 7 Dec,5,3 KO 0 Sub 2 Dec,3,3,0,5.6,2894,2894,2722,2018-03-03,L - Cris Cyborg,2025-10-04,W - Macy Chiasson,NA,NA
Luke Riley,1999-06-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England",male,featherweight,16,NA,16,NA,16,16,2,2,1 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,2,2,1,4.5,2894,2894,2659,2025-11-22,W - Bogdan Grad,2026-03-21,W - Michael Aswell Jr.,NA,NA
Rafael Dos Anjos,1984-10-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Brazil, United States",male,"welterweight, lightweight",16,NA,16,NA,-1,4,36,21,4 KO 5 Sub 12 Dec,15,4 KO 1 Sub 10 Dec,-3,5,8,3.7,2892,3445,2969,2008-11-15,L - Jeremy Stephens,2024-10-26,L - Geoff Neal,NA,NA
Jack Hermansson,1988-06-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Norway, Sweden",male,"welterweight, middleweight",16,NA,16,NA,4,16,19,11,3 KO 3 Sub 5 Dec,8,5 KO 1 Sub 2 Dec,-2,4,2,4.5,2887,3276,2945,2016-09-03,W - Scott Askham,2025-11-22,L - Myktybek Orolbai,NA,NA
