fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,total_time,mean_age,opp_age,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result
Jonavin Webb,1989-04-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-2,-1,1800,26.4,36.4,0,8,2564,2611,2519,2015-05-09,L - Kyle Noke,2016-02-21,L - Nathan Coy
Rosi Sexton,1977-07-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England",female,women's bantamweight,10,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-2,-1,1800,36.1,25.4,0,6.5,2384,2611,2544,2013-06-15,L - Alexis Davis,2013-10-26,L - Jessica Andrade
Antonio Mendes,1981-04-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,light heavyweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 1 Sub 0 Dec,-2,-1,359,27.4,28.4,0,6.5,2168,2611,2607,2008-05-24,L - Thiago Silva,2009-01-17,L - Eric Schafer
Lara Fritzen,1995-11-14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,"women's flyweight, women's bantamweight",16,16,3,1,0 KO 0 Sub 1 Dec,2,0 KO 1 Sub 1 Dec,-1,1,2574,24.9,26.4,0,10.7,2538,2610,2563,2019-08-31,L - Karol Rosa,2021-06-19,L - Casey O'Neill
Bruno Santos,1987-07-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,middleweight,16,16,3,1,0 KO 0 Sub 1 Dec,2,0 KO 0 Sub 2 Dec,-1,1,2700,26.9,26.1,0,7,2505,2610,2671,2013-12-06,L - Krzysztof Jotko,2014-10-04,L - Elias Theodorou
Carlo Pedersoli,1993-06-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Italy,male,welterweight,16,16,3,1,0 KO 0 Sub 1 Dec,2,2 KO 0 Sub 0 Dec,-2,1,1238,25.3,31.3,0,6,2382,2610,2760,2018-05-27,W - Brad Scott,2019-02-23,L - Dwight Grant
Ryan Benoit,1989-08-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"flyweight, bantamweight",7,16,9,3,2 KO 0 Sub 1 Dec,6,0 KO 2 Sub 4 Dec,-3,1,6378,28,29,1,8.3,2267,2610,2579,2013-11-30,L - Josh Sampo,2021-07-31,L - Zarrukh Adashev
Tiequan Zhang,1978-07-25,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,China,male,"lightweight, featherweight",16,16,4,1,0 KO 1 Sub 0 Dec,3,1 KO 0 Sub 2 Dec,-3,1,2180,33.4,31.2,0,9,2237,2610,2411,2011-02-26,W - Jason Reinhardt,2012-11-10,L - Jon Tuck
Jarjis Danho,1983-10-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Germany, Syria",male,heavyweight,16,16,3,1,1 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,1,1,1773,34.2,34.5,0,9.7,2609,2609,2552,2016-02-27,L - Daniel Omielanczuk,2021-04-10,W - Yorgan De Castro
Guido Cannetti,1979-12-19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Argentina,male,bantamweight,16,16,10,4,1 KO 1 Sub 2 Dec,6,1 KO 4 Sub 1 Dec,-1,2,4358,39.6,29.3,2,9.2,2578,2609,2573,2014-11-15,L - Henry Briones,2023-03-11,L - Mario Bautista
Dan Moret,1986-11-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 0 Sub 2 Dec,-3,-1,2159,32.1,31,0,10.3,2491,2609,2644,2018-04-14,L - Gilbert Burns,2019-06-29,L - Jared Gordon
Marvin Eastman,1971-06-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"middleweight, light heavyweight",16,16,5,1,0 KO 0 Sub 1 Dec,4,4 KO 0 Sub 0 Dec,-1,1,1907,34.9,28.7,0,5.4,2378,2609,2545,2003-06-06,L - Vitor Belfort,2008-06-21,L - Drew McFedries
Alen Amedovski,1988-04-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Italy, North Macedonia",male,middleweight,16,16,4,0,0 KO 0 Sub 0 Dec,4,2 KO 1 Sub 1 Dec,-4,-1,1216,32.8,29.2,0,5.5,2345,2609,2612,2019-04-20,L - Krzysztof Jotko,2022-09-17,L - Joe Pyfer
Gasan Umalatov,1982-11-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,welterweight,16,16,4,1,0 KO 0 Sub 1 Dec,3,0 KO 0 Sub 3 Dec,-2,1,3600,31.9,29.6,0,9.8,2639,2608,2603,2014-02-01,L - Neil Magny,2015-11-07,L - Viscardi Andrade
Ansar Chalangov,1979-10-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,welterweight,16,16,2,0,0 KO 0 Sub 0 Dec,2,1 KO 1 Sub 0 Dec,-2,-1,354,26.2,25.2,0,7.5,2644,2607,2509,2005-11-19,L - Thiago Alves,2006-04-06,L - Josh Koscheck
Gabriel Miranda,1990-03-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,"featherweight, lightweight",16,16,4,1,0 KO 1 Sub 0 Dec,3,3 KO 0 Sub 0 Dec,-2,1,948,33.9,30.4,0,9.2,2494,2607,2692,2022-09-03,L - Benoit Saint Denis,2025-03-29,L - Jamall Emmers
Mara Borella,1986-06-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Italy,female,women's flyweight,8,16,7,2,0 KO 1 Sub 1 Dec,5,1 KO 2 Sub 2 Dec,-4,1,3945,33,29.9,0,7.3,2269,2606,2558,2017-10-07,W - Kalindra Faria,2020-09-19,L - Mayra Bueno Silva
Caros Fodor,1984-01-07,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,United States,male,lightweight,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,-1,900,29.1,28.8,0,9,2531,2605,2540,2013-02-23,L - Sam Stout,2013-02-23,L - Sam Stout
Aaron Rosa,1983-05-28,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,United States,male,"light heavyweight, heavyweight",16,16,3,1,0 KO 0 Sub 1 Dec,2,2 KO 0 Sub 0 Dec,-1,1,1714,28.4,32.6,0,8.7,2400,2605,2542,2011-06-11,L - Joey Beltran,2012-03-02,L - James Te Huna
Mark Striegl,1988-06-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Philippines,male,"featherweight, bantamweight",16,16,2,0,0 KO 0 Sub 0 Dec,2,2 KO 0 Sub 0 Dec,-2,-1,472,33,32.7,0,9.5,2392,2604,2863,2020-10-17,L - Said Nurmagomedov,2022-02-19,L - Chas Skelly
Jinh Yu Frey,1985-05-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"South Korea, United States",female,women's strawweight,16,16,8,2,0 KO 0 Sub 2 Dec,6,1 KO 1 Sub 4 Dec,-4,2,6193,36.7,28.1,0,10.1,2288,2604,2483,2020-06-27,L - Kay Hansen,2023-10-21,L - Viktoriia Dudakova
Matt Veach,1981-05-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,16,3,1,1 KO 0 Sub 0 Dec,2,0 KO 2 Sub 0 Dec,-2,1,1237,28.4,27.1,1,6.7,2460,2603,2623,2009-02-07,W - Matt Grice,2010-04-10,L - Paul Kelly
Jessica-Rose Clark,1987-11-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Australia,female,women's bantamweight,7,16,9,4,1 KO 0 Sub 3 Dec,5,0 KO 3 Sub 2 Dec,-3,2,6487,32.6,29.2,0,6.9,2263,2603,2463,2017-11-18,W - Bec Rawlings,2023-05-13,L - Tainara Lisboa
Mike Breeden,1989-04-21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Cambodia, United States",male,lightweight,16,16,4,1,1 KO 0 Sub 0 Dec,3,2 KO 0 Sub 1 Dec,1,1,1845,33.6,29.3,0,8.2,2592,2602,2682,2021-10-02,L - Alexander Hernandez,2023-10-21,W - Anshul Jubli
Leonard Garcia,1979-07-14,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,United States,male,featherweight,16,16,9,2,0 KO 1 Sub 1 Dec,7,0 KO 1 Sub 6 Dec,-5,1,7161,31,26.4,3,6.6,2381,2602,2485,2007-04-07,L - Roger Huerta,2013-04-27,L - Cody McKenzie
Milton Vieira,1978-10-04,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,Brazil,male,featherweight,16,16,2,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,0,1800,34,25,0,8,2538,2601,2524,2012-06-23,D - Felipe Arantes,2013-01-19,L - Godofredo Pepey
